PROVINCIA,LOCALIDAD,CENTRO,RÉGIMEN,GRADO,FAMILIA,CICLO,TURNO,
ALACANT,ALACANT,CIPFP MARÍTIMO PESQUERO DEL MEDITERRÁNEO,Público,MEDIO,MARÍTIMO PESQUERA,MANTENIMIENTO Y CONTROL DE LA MAQUINARIA DE BUQUES Y EMBARCACIONES (LFP),Diurno,1
ALACANT,ALACANT,CIPFP MARÍTIMO PESQUERO DEL MEDITERRÁNEO ,Público,MEDIO,MARÍTIMO PESQUERA,NAVEGACIÓN Y PESCA DE LITORAL (LFP),Diurno,1
ALACANT,ALACANT,CIPFP MARÍTIMO PESQUERO DEL MEDITERRÁNEO ,Público,MEDIO,MARÍTIMO PESQUERA,OPERACIONES SUBACUÁTICAS E HIPERBÁRICAS (LFP),Diurno,2
ALACANT,ALACANT,CIPFP MARÍTIMO PESQUERO DEL MEDITERRÁNEO ,Público,SUPERIOR,MARÍTIMO PESQUERA,ORGANIZACIÓN DEL MANTENIMIENTO DE MAQUINARIA DE BUQUES Y EMBARCACIONES (LFP),Diurno,1
ALACANT,ALACANT,CIPFP MARÍTIMO PESQUERO DEL MEDITERRÁNEO ,Público,SUPERIOR,MARÍTIMO PESQUERA,TRANSPORTE MARÍTIMO Y PESCA DE ALTURA (LFP),Diurno,1
ALACANT,ALACANT,IES 8 DE MARZO,Público,MEDIO,ACTIVIDADES FÍSICAS Y DEPORTIVAS,GUÍA EN EL MEDIO NATURAL Y DE TIEMPO LIBRE (LFP),Diurno,1
ALACANT,ALACANT,IES 8 DE MARZO,Público,SUPERIOR,ACTIVIDADES FÍSICAS Y DEPORTIVAS,ACONDICIONAMIENTO FÍSICO (LFP),Diurno,2
ALACANT,ALACANT,IES 8 DE MARZO,Público,SUPERIOR,ACTIVIDADES FÍSICAS Y DEPORTIVAS,ENSEÑANZA Y ANIMACIÓN SOCIODEPORTIVA (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,BÁSICO,ELECTRICIDAD Y ELECTRÓNICA,ELECTRICIDAD Y ELECTRÓNICA (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,BÁSICO,ELECTRICIDAD Y ELECTRÓNICA,INSTALACIONES ELECTROTÉCNICAS Y MECÁNICA (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,BÁSICO,FABRICACIÓN MECÁNICA,FABRICACIÓN Y MONTAJE (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,BÁSICO,INFORMÁTICA Y COMUNICACIONES,INFORMÁTICA Y COMUNICACIONES (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,BÁSICO 2a Oport., INFORMÁTICA Y COMUNICACIONES,INFORMÁTICA DE OFICINA 2 (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,MEDIO,ELECTRICIDAD Y ELECTRÓNICA,INSTALACIONES DE TELECOMUNICACIONES (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,MEDIO,ELECTRICIDAD Y ELECTRÓNICA,INSTALACIONES ELÉCTRICAS Y AUTOMÁTICAS (LFP),Diurno,2
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,MEDIO,ELECTRICIDAD Y ELECTRÓNICA,INSTALACIONES ELÉCTRICAS Y AUTOMÁTICAS (LFP),Semipresencial,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,MEDIO,FABRICACIÓN MECÁNICA,MECANIZADO (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,MEDIO,FABRICACIÓN MECÁNICA,SOLDADURA Y CALDERERÍA (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,MEDIO,INFORMÁTICA Y COMUNICACIONES,SISTEMAS MICROINFORMÁTICOS Y REDES (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,MEDIO,INSTALACIÓN Y MANTENIMIENTO,MANTENIMIENTO ELECTROMECÁNICO (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,SUPERIOR,ELECTRICIDAD Y ELECTRÓNICA,AUTOMATIZACIÓN Y ROBÓTICA INDUSTRIAL (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,SUPERIOR,ELECTRICIDAD Y ELECTRÓNICA,AUTOMATIZACIÓN Y ROBÓTICA INDUSTRIAL (LFP),Semipresencial,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,SUPERIOR,ELECTRICIDAD Y ELECTRÓNICA,MANTENIMIENTO ELECTRÓNICO (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,SUPERIOR,ELECTRICIDAD Y ELECTRÓNICA,SISTEMAS DE TELECOMUNICACIONES E INFORMÁTICOS (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,SUPERIOR,ELECTRICIDAD Y ELECTRÓNICA,SISTEMAS DE TELECOMUNICACIONES E INFORMÁTICOS (LFP),Semipresencial,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,SUPERIOR,ELECTRICIDAD Y ELECTRÓNICA,SISTEMAS ELECTROTÉCNICOS Y AUTOMATIZADOS (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,SUPERIOR,ELECTRICIDAD Y ELECTRÓNICA,SISTEMAS ELECTROTÉCNICOS Y AUTOMATIZADOS (LFP),Semipresencial,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,SUPERIOR,FABRICACIÓN MECÁNICA,CONSTRUCCIONES METÁLICAS (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,SUPERIOR,FABRICACIÓN MECÁNICA,DISEÑO EN FABRICACIÓN MECÁNICA (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,SUPERIOR,FABRICACIÓN MECÁNICA,PROGRAMACIÓN DE LA PRODUCCIÓN EN FABRICACIÓN MECÁNICA (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,SUPERIOR,INFORMÁTICA Y COMUNICACIONES,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,SUPERIOR,INFORMÁTICA Y COMUNICACIONES,DESARROLLO DE APLICACIONES MULTIPLATAFORMA (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,SUPERIOR,INSTALACIÓN Y MANTENIMIENTO,MECATRÓNICA INDUSTRIAL (LFP),Diurno,1
ALACANT,ALACANT,IES ANTONIO JOSÉ CAVANILLES,Público,SUPERIOR,INSTALACIÓN Y MANTENIMIENTO,MECATRÓNICA INDUSTRIAL (LFP),Semipresencial,1
ALACANT,ALACANT,IES DOCTOR BALMIS,Público,BÁSICO,COMERCIO Y MARKETING,SERVICIOS COMERCIALES (LFP),Diurno,1
ALACANT,ALACANT,IES DOCTOR BALMIS,Público,MEDIO,ADMINISTRACIÓN Y GESTIÓN,GESTIÓN ADMINISTRATIVA (LFP),Diurno,1
ALACANT,ALACANT,IES DOCTOR BALMIS,Público,MEDIO,COMERCIO Y MARKETING,ACTIVIDADES COMERCIALES (LFP),Diurno,1
ALACANT,ALACANT,IES DOCTOR BALMIS,Público,MEDIO,INFORMÁTICA Y COMUNICACIONES,SISTEMAS MICROINFORMÁTICOS Y REDES (LFP),Diurno,2
ALACANT,ALACANT,IES DOCTOR BALMIS,Público,SUPERIOR,ADMINISTRACIÓN Y GESTIÓN,ADMINISTRACIÓN Y FINANZAS (LFP),Diurno,1
ALACANT,ALACANT,IES DOCTOR BALMIS,Público,SUPERIOR,COMERCIO Y MARKETING,COMERCIO INTERNACIONAL (LFP),Diurno,1
ALACANT,ALACANT,IES DOCTOR BALMIS,Público,SUPERIOR,COMERCIO Y MARKETING,COMERCIO INTERNACIONAL (LFP),Semipresencial,1
ALACANT,ALACANT,IES DOCTOR BALMIS,Público,SUPERIOR,COMERCIO Y MARKETING,GESTIÓN DE VENTAS Y ESPACIOS COMERCIALES (LFP),Diurno,1
ALACANT,ALACANT,IES DOCTOR BALMIS,Público,SUPERIOR,COMERCIO Y MARKETING,TRANSPORTE Y LOGÍSTICA (LFP),Diurno,1
ALACANT,ALACANT,IES DOCTOR BALMIS,Público,SUPERIOR,INFORMÁTICA Y COMUNICACIONES,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),Diurno,1
ALACANT,ALACANT,IES DOCTOR BALMIS,Público,SUPERIOR,INFORMÁTICA Y COMUNICACIONES,DESARROLLO DE APLICACIONES MULTIPLATAFORMA (LFP),Diurno,2
ALACANT,ALACANT,IES DOCTOR BALMIS,Público,SUPERIOR,INFORMÁTICA Y COMUNICACIONES,DESARROLLO DE APLICACIONES MULTIPLATAFORMA (LFP),Semipresencial,1
ALACANT,ALACANT,IES DOCTOR BALMIS,Público,SUPERIOR,INFORMÁTICA Y COMUNICACIONES,DESARROLLO DE APLICACIONES WEB (LFP),Diurno,1
ALACANT,ALACANT,IES DOCTOR BALMIS,Público,SUPERIOR,INFORMÁTICA Y COMUNICACIONES,DESARROLLO DE APLICACIONES WEB (LFP),Semipresencial,1
ALACANT,ALACANT,IES EL PLA,Público,BÁSICO,ELECTRICIDAD Y ELECTRÓNICA,ELECTRICIDAD Y ELECTRÓNICA (LFP),Diurno,1
ALACANT,ALACANT,IES EL PLA,Público,BÁSICO,IMAGEN PERSONAL,PELUQUERÍA Y ESTÉTICA (LFP),Diurno,1
ALACANT,ALACANT,IES EL PLA,Público,MEDIO,IMAGEN PERSONAL,ESTÉTICA Y BELLEZA (LFP),Diurno,2
ALACANT,ALACANT,IES EL PLA,Público,MEDIO,IMAGEN PERSONAL,PELUQUERÍA Y COSMÉTICA CAPILAR (LFP),Diurno,2
ALACANT,ALACANT,IES EL PLA,Público,MEDIO,INFORMÁTICA Y COMUNICACIONES,SISTEMAS MICROINFORMÁTICOS Y REDES (LFP),Diurno,1
ALACANT,ALACANT,IES EL PLA,Público,SUPERIOR,IMAGEN PERSONAL,ASESORÍA DE IMAGEN PERSONAL Y CORPORATIVA (LFP),Diurno,1
ALACANT,ALACANT,IES EL PLA,Público,SUPERIOR,IMAGEN PERSONAL,CARACTERIZACIÓN Y MAQUILLAJE PROFESIONAL (LFP),Diurno,1
ALACANT,ALACANT,IES EL PLA,Público,SUPERIOR,IMAGEN PERSONAL,ESTÉTICA INTEGRAL Y BIENESTAR (LFP),Diurno,1
ALACANT,ALACANT,IES EL PLA,Público,SUPERIOR,IMAGEN PERSONAL,ESTILISMO Y DIRECCIÓN DE PELUQUERÍA (LFP),Diurno,1
ALACANT,ALACANT,IES EL PLA,Público,SUPERIOR,INFORMÁTICA Y COMUNICACIONES,DESARROLLO DE APLICACIONES MULTIPLATAFORMA (LFP),Diurno,1
ALACANT,ALACANT,IES FIGUERAS PACHECO,Público,BÁSICO,COMERCIO Y MARKETING,SERVICIOS COMERCIALES (LFP),Diurno,1
ALACANT,ALACANT,IES FIGUERAS PACHECO,Público,MEDIO,COMERCIO Y MARKETING,ACTIVIDADES COMERCIALES (LFP),Diurno,1
ALACANT,ALACANT,IES FIGUERAS PACHECO,Público,MEDIO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,ATENCIÓN A PERSONAS EN SITUACIÓN DE DEPENDENCIA (LFP),Diurno,2
ALACANT,ALACANT,IES FIGUERAS PACHECO,Público,MEDIO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD ,ATENCIÓN A PERSONAS EN SITUACIÓN DE DEPENDENCIA (LFP),Semipresencial,1
ALACANT,ALACANT,IES FIGUERAS PACHECO,Público,SUPERIOR,COMERCIO Y MARKETING,MARKETING Y PUBLICIDAD (LFP),Diurno,1
ALACANT,ALACANT,IES FIGUERAS PACHECO,Público,SUPERIOR,COMERCIO Y MARKETING,MARKETING Y PUBLICIDAD (LFP),Semipresencial,1
ALACANT,ALACANT,IES FIGUERAS PACHECO,Público,SUPERIOR,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,ANIMACIÓN SOCIOCULTURAL Y TURÍSTICA (LFP),Diurno,1
ALACANT,ALACANT,IES FIGUERAS PACHECO,Público,SUPERIOR,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,EDUCACIÓN INFANTIL (LFP),Diurno,2
ALACANT,ALACANT,IES FIGUERAS PACHECO,Público,SUPERIOR,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,EDUCACIÓN INFANTIL (LFP),Semipresencial,3
ALACANT,ALACANT,IES FIGUERAS PACHECO,Público,SUPERIOR,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,INTEGRACIÓN SOCIAL (LFP),Diurno,2
ALACANT,ALACANT,IES FIGUERAS PACHECO,Público,SUPERIOR,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,INTEGRACIÓN SOCIAL (LFP),Semipresencial,2
ALACANT,ALACANT,IES GRAN VIA,Público,BÁSICO,INSTALACIÓN Y MANTENIMIENTO,MANTENIMIENTO DE VIVIENDAS (LFP),Diurno,1
ALACANT,ALACANT,IES GRAN VIA,Público,BÁSICO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,ACTIVIDADES DOMÉSTICAS Y LIMPIEZA DE EDIFICIOS (LFP),Diurno,1
ALACANT,ALACANT,IES GRAN VIA,Público,MEDIO,EDIFICACIÓN Y OBRA CIVIL,"OBRAS DE INTERIOR, DECORACIÓN Y REHABILITACIÓN (LFP)",Diurno,1
ALACANT,ALACANT,IES GRAN VIA,Público,MEDIO,INSTALACIÓN Y MANTENIMIENTO,INSTALACIONES DE PRODUCCIÓN DE CALOR (LFP),Diurno,1
ALACANT,ALACANT,IES GRAN VIA,Público,MEDIO,INSTALACIÓN Y MANTENIMIENTO,INSTALACIONES FRIGORÍFICAS Y DE CLIMATIZACIÓN (LFP),Diurno,1
ALACANT,ALACANT,IES GRAN VIA,Público,MEDIO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,ATENCIÓN A PERSONAS EN SITUACIÓN DE DEPENDENCIA (LFP),Diurno,2
ALACANT,ALACANT,IES GRAN VIA,Público,SUPERIOR,EDIFICACIÓN Y OBRA CIVIL,ORGANIZACIÓN Y CONTROL DE OBRAS DE CONSTRUCCIÓN (LFP),Diurno,1
ALACANT,ALACANT,IES GRAN VIA,Público,SUPERIOR,EDIFICACIÓN Y OBRA CIVIL,PROYECTOS DE EDIFICACIÓN (LFP),Diurno,1
ALACANT,ALACANT,IES GRAN VIA,Público,SUPERIOR,EDIFICACIÓN Y OBRA CIVIL,PROYECTOS DE OBRA CIVIL (LFP),Diurno,1
ALACANT,ALACANT,IES GRAN VIA,Público,SUPERIOR,ENERGÍA Y AGUA,ENERGÍAS RENOVABLES (LFP),Diurno,1
ALACANT,ALACANT,IES GRAN VIA,Público,SUPERIOR,ENERGÍA Y AGUA,ENERGÍAS RENOVABLES (LFP),Semipresencial,1
ALACANT,ALACANT,IES GRAN VIA,Público,SUPERIOR,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,EDUCACIÓN INFANTIL (LFP),Diurno,1
ALACANT,ALACANT,IES GRAN VIA,Público,SUPERIOR,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,INTEGRACIÓN SOCIAL (LFP),Diurno,2
ALACANT,ALACANT,IES JORGE JUAN,Público,BÁSICO,IMAGEN PERSONAL,PELUQUERÍA Y ESTÉTICA (LFP),Diurno,2
ALACANT,ALACANT,IES JORGE JUAN,Público,BÁSICO,INFORMÁTICA Y COMUNICACIONES,INFORMÁTICA DE OFICINA (LFP),Diurno,1
ALACANT,ALACANT,IES JORGE JUAN,Público,MEDIO,IMAGEN PERSONAL,ESTÉTICA Y BELLEZA (LFP),Diurno,1
ALACANT,ALACANT,IES JORGE JUAN,Público,MEDIO,INFORMÁTICA Y COMUNICACIONES,SISTEMAS MICROINFORMÁTICOS Y REDES (LFP),Diurno,1
ALACANT,ALACANT,IES LAS LOMAS,Público,BÁSICO,IMAGEN PERSONAL,PELUQUERÍA Y ESTÉTICA (LFP),Diurno,1
ALACANT,ALACANT,IES LAS LOMAS,Público,BÁSICO,"MADERA, MUEBLE Y CORCHO",CARPINTERÍA Y MUEBLE (LFP),Diurno,1
ALACANT,ALACANT,IES LAS LOMAS,Público,MEDIO,IMAGEN PERSONAL,PELUQUERÍA Y COSMÉTICA CAPILAR (LFP),Diurno,1
ALACANT,ALACANT,IES LAS LOMAS,Público,MEDIO,"MADERA, MUEBLE Y CORCHO",INSTALACIÓN Y AMUEBLAMIENTO (LFP),Diurno,1
ALACANT,ALACANT,IES LAS LOMAS,Público,SUPERIOR,ARTES Y ARTESANIAS,ARTISTA FALLERO Y CONSTRUCCIÓN DE ESCENOGRAFÍAS (LFP),Diurno,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,BÁSICO,ADMINISTRACIÓN Y GESTIÓN,SERVICIOS ADMINISTRATIVOS (LFP),Diurno,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,BÁSICO,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,MANTENIMIENTO DE VEHÍCULOS (LFP),Diurno,2
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,MEDIO,ADMINISTRACIÓN Y GESTIÓN,GESTIÓN ADMINISTRATIVA (LFP),Diurno,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,MEDIO,SANIDAD,CUIDADOS AUXILIARES DE ENFERMERÍA,Diurno,2
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,MEDIO,SANIDAD,EMERGENCIAS SANITARIAS (LFP),Diurno,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,MEDIO,SANIDAD,EMERGENCIAS SANITARIAS (LFP),Semipresencial,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,MEDIO,SANIDAD,FARMACIA Y PARAFARMACIA (LFP),Diurno,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,MEDIO,SANIDAD,FARMACIA Y PARAFARMACIA (LFP),Semipresencial,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,MEDIO,SEGURIDAD Y MEDIO AMBIENTE,EMERGENCIAS Y PROTECCIÓN CIVIL (LFP),Diurno,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,MEDIO,SEGURIDAD Y MEDIO AMBIENTE,SEGURIDAD (LFP),Diurno,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,MEDIO,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,CARROCERÍA (LFP),Diurno,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,MEDIO,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,ELECTROMECÁNICA DE VEHÍCULOS AUTOMÓVILES (LFP),Diurno,2
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,SUPERIOR,ADMINISTRACIÓN Y GESTIÓN,ADMINISTRACIÓN Y FINANZAS (LFP),Diurno,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,SUPERIOR,SANIDAD,ANATOMÍA PATOLÓGICA Y CITODIAGNÓSTICO (LFP),Diurno,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,SUPERIOR,SANIDAD,AUDIOLOGÍA PROTÉSICA (LFP),Diurno,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,SUPERIOR,SANIDAD,AUDIOLOGÍA PROTÉSICA (LFP),Semipresencial,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,SUPERIOR,SANIDAD,DIETÉTICA,Diurno,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,SUPERIOR,SANIDAD,HIGIENE BUCODENTAL (LFP),Diurno,2
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,SUPERIOR,SANIDAD,HIGIENE BUCODENTAL (LFP),Semipresencial,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,SUPERIOR,SANIDAD,LABORATORIO CLÍNICO Y BIOMÉDICO (LFP),Diurno,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,SUPERIOR,SEGURIDAD Y MEDIO AMBIENTE,COORDINACIÓN DE EMERGENCIAS Y PROTECCIÓN CIVIL (LFP),Diurno,1
ALACANT,ALACANT,IES LEONARDO DA VINCI,Público,SUPERIOR,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,AUTOMOCIÓN (LFP),Diurno,1
ALACANT,ALACANT,IES MARE NOSTRUM,Público,BÁSICO,INFORMÁTICA Y COMUNICACIONES,INFORMÁTICA DE OFICINA (LFP),Diurno,1
ALACANT,ALACANT,IES MARE NOSTRUM,Público,MEDIO,ADMINISTRACIÓN Y GESTIÓN,GESTIÓN ADMINISTRATIVA (LFP),Diurno,2
ALACANT,ALACANT,IES MARE NOSTRUM,Público,MEDIO,INFORMÁTICA Y COMUNICACIONES,SISTEMAS MICROINFORMÁTICOS Y REDES (LFP),Diurno,3
ALACANT,ALACANT,IES MARE NOSTRUM,Público,SUPERIOR,ADMINISTRACIÓN Y GESTIÓN,ADMINISTRACIÓN Y FINANZAS (LFP),Diurno,1
ALACANT,ALACANT,IES MARE NOSTRUM,Público,SUPERIOR,ADMINISTRACIÓN Y GESTIÓN,ADMINISTRACIÓN Y FINANZAS (LFP),Nocturno,1
ALACANT,ALACANT,IES MARE NOSTRUM,Público,SUPERIOR,ADMINISTRACIÓN Y GESTIÓN,ADMINISTRACIÓN Y FINANZAS (LFP),Semipresencial,3
ALACANT,ALACANT,IES MARE NOSTRUM,Público,SUPERIOR,ADMINISTRACIÓN Y GESTIÓN,ASISTENCIA A LA DIRECCIÓN (LFP),Diurno,1
ALACANT,ALACANT,IES MARE NOSTRUM,Público,SUPERIOR,INFORMÁTICA Y COMUNICACIONES,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),Diurno,2
ALACANT,ALACANT,IES MARE NOSTRUM,Público,SUPERIOR,INFORMÁTICA Y COMUNICACIONES,ADMINISTRACIÓN DE SISTEMAS INFORMÁTICOS EN RED (LFP),Semipresencial,1
ALACANT,ALACANT,IES MARE NOSTRUM,Público,SUPERIOR,INFORMÁTICA Y COMUNICACIONES,DESARROLLO DE APLICACIONES MULTIPLATAFORMA (LFP),Diurno,1
ALACANT,ALACANT,IES MARE NOSTRUM,Público,SUPERIOR,INFORMÁTICA Y COMUNICACIONES,DESARROLLO DE APLICACIONES MULTIPLATAFORMA (LFP),Semipresencial,1
ALACANT,ALACANT,IES MARE NOSTRUM,Público,SUPERIOR,INFORMÁTICA Y COMUNICACIONES,DESARROLLO DE APLICACIONES WEB (LFP),Diurno,2
ALACANT,ALACANT,IES MARE NOSTRUM,Público,SUPERIOR,INFORMÁTICA Y COMUNICACIONES,DESARROLLO DE APLICACIONES WEB (LFP),Semipresencial,2
ALACANT,ALACANT,IES MIGUEL HERNÁNDEZ,Público,BÁSICO,HOSTELERÍA Y TURISMO,ALOJAMIENTO Y LAVANDERÍA (LFP),Diurno,1
ALACANT,ALACANT,IES MIGUEL HERNÁNDEZ,Público,MEDIO,HOSTELERÍA Y TURISMO,SERVICIOS EN RESTAURACIÓN (LFP),Diurno,1
ALACANT,ALACANT,IES MIGUEL HERNÁNDEZ,Público,SUPERIOR,HOSTELERÍA Y TURISMO,AGENCIAS DE VIAJES Y GESTIÓN DE EVENTOS (LFP),Diurno,1
ALACANT,ALACANT,IES MIGUEL HERNÁNDEZ,Público,SUPERIOR,HOSTELERÍA Y TURISMO,DIRECCIÓN DE COCINA (LFP),Diurno,1
ALACANT,ALACANT,IES MIGUEL HERNÁNDEZ,Público,SUPERIOR,HOSTELERÍA Y TURISMO,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS (LFP),Diurno,1
ALACANT,ALACANT,IES MIGUEL HERNÁNDEZ,Público,SUPERIOR,HOSTELERÍA Y TURISMO,"GUÍA, INFORMACIÓN Y ASISTENCIA TURÍSTICA (LFP)",Diurno,1
ALACANT,ALACANT,IES RADIO EXTERIOR,Público,MEDIO,COMERCIO Y MARKETING,ACTIVIDADES COMERCIALES (LFP),Diurno,1
ALACANT,ALACANT,IES RADIO EXTERIOR,Público,MEDIO,INFORMÁTICA Y COMUNICACIONES,SISTEMAS MICROINFORMÁTICOS Y REDES (LFP),Diurno,1
ALACANT,ALACANT,IES RADIO EXTERIOR,Público,SUPERIOR,COMERCIO Y MARKETING,COMERCIO INTERNACIONAL (LFP),Diurno,1
ALACANT,ALACANT,IES VIRGEN DEL REMEDIO,Público,BÁSICO,AGRARIA,AGRO-JARDINERIA Y COMPOSICIONES FLORALES (LFP),Diurno,1
ALACANT,ALACANT,IES VIRGEN DEL REMEDIO,Público,BÁSICO,HOSTELERÍA Y TURISMO,ACTIVIDADES DE PANADERÍA Y PASTELERÍA (LFP),Diurno,1
ALACANT,ALACANT,IES VIRGEN DEL REMEDIO,Público,MEDIO,AGRARIA,JARDINERÍA Y FLORISTERÍA (LFP),Diurno,1
ALACANT,ALACANT,IES VIRGEN DEL REMEDIO,Público,MEDIO,INDUSTRIAS ALIMENTARIAS,ELABORACIÓN DE PRODUCTOS ALIMENTICIOS (LFP),Diurno,1
ALACANT,ALACANT,IES VIRGEN DEL REMEDIO,Público,MEDIO,INDUSTRIAS ALIMENTARIAS,"PANADERÍA, REPOSTERÍA Y CONFITERÍA (LFP)",Diurno,2
ALACANT,ALACANT,IES VIRGEN DEL REMEDIO,Público,MEDIO,QUÍMICA,OPERACIONES DE LABORATORIO (LFP),Diurno,1
ALACANT,ALACANT,IES VIRGEN DEL REMEDIO,Público,SUPERIOR,AGRARIA,PAISAJISMO Y MEDIO RURAL (LFP),Diurno,1
ALACANT,ALACANT,IES VIRGEN DEL REMEDIO,Público,SUPERIOR,INDUSTRIAS ALIMENTARIAS,PROCESOS Y CALIDAD EN LA INDUSTRIA ALIMENTARIA (LFP),Diurno,1
ALACANT,ALACANT,IES VIRGEN DEL REMEDIO,Público,SUPERIOR,INDUSTRIAS ALIMENTARIAS,PROCESOS Y CALIDAD EN LA INDUSTRIA ALIMENTARIA (LFP),Semipresencial,1
ALACANT,ALACANT,IES VIRGEN DEL REMEDIO,Público,SUPERIOR,QUÍMICA,"FABRICACIÓN DE PRODUCTOS FARMACEÚTICOS, BIOTECNOLÓGICOS Y AFINES (LFP)",Diurno,1
ALACANT,ALACANT,IES VIRGEN DEL REMEDIO,Público,SUPERIOR,QUÍMICA,LABORATORIO DE ANÁLISIS Y DE CONTROL DE CALIDAD (LFP),Diurno,1
ALACANT,ALACANT,IES VIRGEN DEL REMEDIO,Público,SUPERIOR,SEGURIDAD Y MEDIO AMBIENTE,QUÍMICA Y SALUD AMBIENTAL (LFP),Diurno,1
ALACANT,ALACANT,IES VIRGEN DEL REMEDIO,Público,SUPERIOR,SEGURIDAD Y MEDIO AMBIENTE,QUÍMICA Y SALUD AMBIENTAL (LFP),Semipresencial,1
ALACANT,ALACANT,SECCIÓ DE L'IES FIGUERAS PACHECO A ALACANT - EL BACAROT,Público,BÁSICO,AGRARIA,AGRO-JARDINERIA Y COMPOSICIONES FLORALES (LFP),Diurno,1
